ρ = 1/2 φ², V(ρ)
0.00259503, -6.37533e-05
0.00260003, -6.3874e-05
0.00260503, -6.39946e-05
0.00261003, -6.41153e-05
0.00261503, -6.42359e-05
0.00262003, -6.43566e-05
0.00262503, -6.44772e-05
0.00263003, -6.45978e-05
0.00263503, -6.47184e-05
0.00264003, -6.4839e-05
0.00264503, -6.49596e-05
0.00265003, -6.50802e-05
0.00265503, -6.52008e-05
0.00266003, -6.53214e-05
0.00266503, -6.54419e-05
0.00267003, -6.55625e-05
0.00267503, -6.5683e-05
0.00268003, -6.58036e-05
0.00268503, -6.59241e-05
0.00269003, -6.60446e-05
0.00269503, -6.61651e-05
0.00270003, -6.62857e-05
0.00270503, -6.64061e-05
0.00271003, -6.65266e-05
0.00271503, -6.66471e-05
0.00272003, -6.67676e-05
0.00272503, -6.68881e-05
0.00273003, -6.70085e-05
0.00273503, -6.7129e-05
0.00274003, -6.72494e-05
0.00274503, -6.73698e-05
0.00275003, -6.74902e-05
0.00275503, -6.76107e-05
0.00276003, -6.77311e-05
0.00276503, -6.78515e-05
0.00277003, -6.79719e-05
0.00277503, -6.80922e-05
0.00278003, -6.82126e-05
0.00278503, -6.8333e-05
0.00279003, -6.84533e-05
0.00279503, -6.85737e-05
0.00280003, -6.8694e-05
0.00280503, -6.88143e-05
0.00281003, -6.89347e-05
0.00281503, -6.9055e-05
0.00282003, -6.91753e-05
0.00282503, -6.92956e-05
0.00283003, -6.94159e-05
0.00283503, -6.95361e-05
0.00284003, -6.96564e-05
0.00284503, -6.97767e-05
0.00285003, -6.98969e-05
0.00285503, -7.00172e-05
0.00286003, -7.01374e-05
0.00286503, -7.02577e-05
0.00287003, -7.03779e-05
0.00287503, -7.04981e-05
0.00288003, -7.06183e-05
0.00288503, -7.07385e-05
0.00289003, -7.08587e-05
0.00289503, -7.09789e-05
0.00290003, -7.1099e-05
0.00290503, -7.12192e-05
0.00291003, -7.13393e-05
0.00291503, -7.14595e-05
0.00292003, -7.15796e-05
0.00292503, -7.16998e-05
0.00293003, -7.18199e-05
0.00293503, -7.194e-05
0.00294003, -7.20601e-05
0.00294503, -7.21802e-05
0.00295003, -7.23003e-05
0.00295503, -7.24204e-05
0.00296003, -7.25404e-05
0.00296503, -7.26605e-05
0.00297003, -7.27806e-05
0.00297503, -7.29006e-05
0.00298003, -7.30206e-05
0.00298503, -7.31407e-05
0.00299003, -7.32607e-05
0.00299503, -7.33807e-05
0.00300003, -7.35007e-05
0.00300503, -7.36207e-05
0.00301003, -7.37407e-05
0.00301503, -7.38607e-05
0.00302003, -7.39807e-05
0.00302503, -7.41006e-05
0.00303003, -7.42206e-05
0.00303503, -7.43405e-05
0.00304003, -7.44605e-05
0.00304503, -7.45804e-05
0.00305003, -7.47003e-05
0.00305503, -7.48202e-05
0.00306003, -7.49401e-05
0.00306503, -7.506e-05
0.00307003, -7.51799e-05
0.00307503, -7.52998e-05
0.00308003, -7.54197e-05
0.00308503, -7.55395e-05
0.00309003, -7.56594e-05
0.00309503, -7.57792e-05
0.00310003, -7.58991e-05
0.00310503, -7.60189e-05
0.00311003, -7.61387e-05
0.00311503, -7.62585e-05
0.00312003, -7.63783e-05
0.00312503, -7.64981e-05
0.00313003, -7.66179e-05
0.00313503, -7.67377e-05
0.00314003, -7.68575e-05
0.00314503, -7.69772e-05
0.00315003, -7.7097e-05
0.00315503, -7.72168e-05
0.00316003, -7.73365e-05
0.00316503, -7.74562e-05
0.00317003, -7.75759e-05
0.00317503, -7.76957e-05
0.00318003, -7.78154e-05
0.00318503, -7.79351e-05
0.00319003, -7.80547e-05
0.00319503, -7.81744e-05
0.00320003, -7.82941e-05
0.00320503, -7.84138e-05
0.00321003, -7.85334e-05
0.00321503, -7.86531e-05
0.00322003, -7.87727e-05
0.00322503, -7.88923e-05
0.00323003, -7.9012e-05
0.00323503, -7.91316e-05
0.00324003, -7.92512e-05
0.00324503, -7.93708e-05
0.00325003, -7.94904e-05
0.00325503, -7.96099e-05
0.00326003, -7.97295e-05
0.00326503, -7.98491e-05
0.00327003, -7.99686e-05
0.00327503, -8.00882e-05
0.00328003, -8.02077e-05
0.00328503, -8.03272e-05
0.00329003, -8.04468e-05
0.00329503, -8.05663e-05
0.00330003, -8.06858e-05
0.00330503, -8.08053e-05
0.00331003, -8.09248e-05
0.00331503, -8.10443e-05
0.00332003, -8.11637e-05
0.00332503, -8.12832e-05
0.00333003, -8.14026e-05
0.00333503, -8.15221e-05
0.00334003, -8.16415e-05
0.00334503, -8.1761e-05
0.00335003, -8.18804e-05
0.00335503, -8.19998e-05
0.00336003, -8.21192e-05
0.00336503, -8.22386e-05
0.00337003, -8.2358e-05
0.00337503, -8.24774e-05
0.00338003, -8.25967e-05
0.00338503, -8.27161e-05
0.00339003, -8.28355e-05
0.00339503, -8.29548e-05
0.00340003, -8.30741e-05
0.00340503, -8.31935e-05
0.00341003, -8.33128e-05
0.00341503, -8.34321e-05
0.00342003, -8.35514e-05
0.00342503, -8.36707e-05
0.00343003, -8.379e-05
0.00343503, -8.39093e-05
0.00344003, -8.40286e-05
0.00344503, -8.41478e-05
0.00345003, -8.42671e-05
0.00345503, -8.43863e-05
0.00346003, -8.45056e-05
0.00346503, -8.46248e-05
0.00347003, -8.4744e-05
0.00347503, -8.48632e-05
0.00348003, -8.49824e-05
0.00348503, -8.51016e-05
0.00349003, -8.52208e-05
0.00349503, -8.534e-05
0.00350004, -8.54592e-05
0.00350504, -8.55783e-05
0.00351004, -8.56975e-05
0.00351504, -8.58166e-05
0.00352004, -8.59358e-05
0.00352504, -8.60549e-05
0.00353004, -8.6174e-05
0.00353504, -8.62931e-05
0.00354004, -8.64122e-05
0.00354504, -8.65313e-05
0.00355004, -8.66504e-05
0.00355504, -8.67695e-05
0.00356004, -8.68886e-05
0.00356504, -8.70076e-05
0.00357004, -8.71267e-05
0.00357504, -8.72457e-05
0.00358004, -8.73648e-05
0.00358504, -8.74838e-05
0.00359004, -8.76028e-05
0.00359504, -8.77219e-05
0.00360004, -8.78409e-05
0.00360504, -8.79599e-05
0.00361004, -8.80788e-05
0.00361504, -8.81978e-05
0.00362004, -8.83168e-05
0.00362504, -8.84358e-05
0.00363004, -8.85547e-05
0.00363504, -8.86737e-05
0.00364004, -8.87926e-05
0.00364504, -8.89115e-05
0.00365004, -8.90305e-05
0.00365504, -8.91494e-05
0.00366004, -8.92683e-05
0.00366504, -8.93872e-05
0.00367004, -8.95061e-05
0.00367504, -8.96249e-05
0.00368004, -8.97438e-05
0.00368504, -8.98627e-05
0.00369004, -8.99815e-05
0.00369504, -9.01004e-05
0.00370004, -9.02192e-05
0.00370504, -9.0338e-05
0.00371004, -9.04569e-05
0.00371504, -9.05757e-05
0.00372004, -9.06945e-05
0.00372504, -9.08133e-05
0.00373004, -9.09321e-05
0.00373504, -9.10508e-05
0.00374004, -9.11696e-05
0.00374504, -9.12884e-05
0.00375004, -9.14071e-05
0.00375504, -9.15259e-05
0.00376004, -9.16446e-05
0.00376504, -9.17634e-05
0.00377004, -9.18821e-05
0.00377504, -9.20008e-05
0.00378004, -9.21195e-05
0.00378504, -9.22382e-05
0.00379004, -9.23569e-05
0.00379504, -9.24756e-05
0.00380004, -9.25942e-05
0.00380504, -9.27129e-05
0.00381004, -9.28316e-05
0.00381504, -9.29502e-05
0.00382004, -9.30688e-05
0.00382504, -9.31875e-05
0.00383004, -9.33061e-05
0.00383504, -9.34247e-05
0.00384004, -9.35433e-05
0.00384504, -9.36619e-05
0.00385004, -9.37805e-05
0.00385504, -9.38991e-05
0.00386004, -9.40176e-05
0.00386504, -9.41362e-05
0.00387004, -9.42548e-05
0.00387504, -9.43733e-05
0.00388004, -9.44919e-05
0.00388504, -9.46104e-05
0.00389004, -9.47289e-05
0.00389504, -9.48474e-05
0.00390004, -9.49659e-05
0.00390504, -9.50844e-05
0.00391004, -9.52029e-05
0.00391504, -9.53214e-05
0.00392004, -9.54399e-05
0.00392504, -9.55583e-05
0.00393004, -9.56768e-05
0.00393504, -9.57952e-05
0.00394004, -9.59137e-05
0.00394504, -9.60321e-05
0.00395004, -9.61505e-05
0.00395504, -9.62689e-05
0.00396004, -9.63873e-05
0.00396504, -9.65057e-05
0.00397004, -9.66241e-05
0.00397504, -9.67425e-05
0.00398004, -9.68609e-05
0.00398504, -9.69792e-05
0.00399004, -9.70976e-05
0.00399504, -9.72159e-05
0.00400004, -9.73343e-05
0.00400504, -9.74526e-05
0.00401004, -9.75709e-05
0.00401504, -9.76892e-05
0.00402004, -9.78076e-05
0.00402504, -9.79258e-05
0.00403004, -9.80441e-05
0.00403504, -9.81624e-05
0.00404004, -9.82807e-05
0.00404504, -9.8399e-05
0.00405004, -9.85172e-05
0.00405504, -9.86355e-05
0.00406004, -9.87537e-05
0.00406504, -9.88719e-05
0.00407004, -9.89901e-05
0.00407504, -9.91084e-05
0.00408004, -9.92266e-05
0.00408504, -9.93448e-05
0.00409004, -9.9463e-05
0.00409504, -9.95811e-05
0.00410004, -9.96993e-05
0.00410504, -9.98175e-05
0.00411004, -9.99356e-05
0.00411504, -0.000100054
0.00412004, -0.000100172
0.00412504, -0.00010029
0.00413004, -0.000100408
0.00413504, -0.000100526
0.00414004, -0.000100644
0.00414504, -0.000100762
0.00415004, -0.000100881
0.00415504, -0.000100999
0.00416004, -0.000101117
0.00416504, -0.000101235
0.00417004, -0.000101353
0.00417504, -0.000101471
0.00418004, -0.000101589
0.00418504, -0.000101707
0.00419004, -0.000101825
0.00419504, -0.000101943
0.00420004, -0.000102061
0.00420504, -0.000102179
0.00421004, -0.000102297
0.00421504, -0.000102415
0.00422004, -0.000102533
0.00422504, -0.000102651
0.00423004, -0.000102769
0.00423504, -0.000102887
0.00424004, -0.000103005
0.00424504, -0.000103123
0.00425004, -0.000103241
0.00425504, -0.000103358
0.00426004, -0.000103476
0.00426504, -0.000103594
0.00427004, -0.000103712
0.00427504, -0.00010383
0.00428004, -0.000103948
0.00428504, -0.000104066
0.00429004, -0.000104184
0.00429504, -0.000104302
0.00430004, -0.000104419
0.00430504, -0.000104537
0.00431004, -0.000104655
0.00431504, -0.000104773
0.00432004, -0.000104891
0.00432504, -0.000105008
0.00433004, -0.000105126
0.00433504, -0.000105244
0.00434004, -0.000105362
0.00434504, -0.00010548
0.00435004, -0.000105597
0.00435504, -0.000105715
0.00436004, -0.000105833
0.00436504, -0.00010595
0.00437004, -0.000106068
0.00437504, -0.000106186
0.00438004, -0.000106304
0.00438504, -0.000106421
0.00439004, -0.000106539
0.00439504, -0.000106657
0.00440004, -0.000106774
0.00440504, -0.000106892
0.00441004, -0.00010701
0.00441504, -0.000107127
0.00442004, -0.000107245
0.00442504, -0.000107363
0.00443004, -0.00010748
0.00443504, -0.000107598
0.00444004, -0.000107715
0.00444504, -0.000107833
0.00445004, -0.000107951
0.00445504, -0.000108068
0.00446004, -0.000108186
0.00446504, -0.000108303
0.00447004, -0.000108421
0.00447504, -0.000108538
0.00448004, -0.000108656
0.00448504, -0.000108774
0.00449004, -0.000108891
0.00449504, -0.000109009
0.00450005, -0.000109126
0.00450505, -0.000109244
0.00451005, -0.000109361
0.00451505, -0.000109479
0.00452005, -0.000109596
0.00452505, -0.000109713
0.00453005, -0.000109831
0.00453505, -0.000109948
0.00454005, -0.000110066
0.00454505, -0.000110183
0.00455005, -0.000110301
0.00455505, -0.000110418
0.00456005, -0.000110535
0.00456505, -0.000110653
0.00457005, -0.00011077
0.00457505, -0.000110888
0.00458005, -0.000111005
0.00458505, -0.000111122
0.00459005, -0.00011124
0.00459505, -0.000111357
0.00460005, -0.000111474
0.00460505, -0.000111592
0.00461005, -0.000111709
0.00461505, -0.000111826
0.00462005, -0.000111944
0.00462505, -0.000112061
0.00463005, -0.000112178
0.00463505, -0.000112296
0.00464005, -0.000112413
0.00464505, -0.00011253
0.00465005, -0.000112647
0.00465505, -0.000112765
0.00466005, -0.000112882
0.00466505, -0.000112999
0.00467005, -0.000113116
0.00467505, -0.000113233
0.00468005, -0.000113351
0.00468505, -0.000113468
0.00469005, -0.000113585
0.00469505, -0.000113702
0.00470005, -0.000113819
0.00470505, -0.000113937
0.00471005, -0.000114054
0.00471505, -0.000114171
